company_name,company_name_short,position_name,workYear,education,jobNature,salary,city,financeStage,industryField,positionAdvantage,companyLabelList,district,positionLables,businessZones,firstType,secondType,thirdType
深圳市贝多分金融科技有限公司,贝多分金融,python开发工程师,3-5年,大专,全职,15k-25k,深圳,A轮,"金融,电商",互联网金融,,福田区,"后端, 爬虫工程师, 爬虫架构","下沙, 车公庙",开发|测试|运维类,后端开发,"后端, 爬虫工程师, 爬虫架构"
深圳市中联创新自控系统有限公司,中联创新,Python工程师,1-3年,本科,全职,15k-25k,深圳,未融资,移动互联网,"五险一金,绩效奖金,弹性工作",,福田区,后端,,开发|测试|运维类,后端开发,后端
上海海万信息科技股份有限公司,海万科技,python,1-3年,本科,全职,11k-20k,深圳,不需要融资,"移动互联网,金融",五险一金 节日福利 双休,,福田区,"银行, 互联网金融",,开发|测试|运维类,后端开发,Python
深圳市杉岩数据技术有限公司,杉岩数据,Python开发工程师,1-3年,本科,全职,10k-20k,深圳,B轮,"企业服务,数据服务","扁平化管理,发展空间大","股票期权, 扁平管理, 领导好, 五险一金",南山区,"云计算, Java, Python, 云计算",,开发|测试|运维类,后端开发,"Java, Python, 云计算"
衍生（深圳）投资基金管理有限公司,衍生投资,python开发工程师,3-5年,本科,全职,10k-20k,深圳,天使轮,企业服务,周末双休 免费咖啡 团队成长,,南山区,"Python, MySQL, Linux/Unix",科技园,开发|测试|运维类,后端开发,"Python, MySQL, Linux/Unix"
深圳小步网络科技有限公司,小步网络,Python后台架构师,5-10年,本科,全职,20k-40k,深圳,B轮,移动互联网,"海外项目,发展空间大,环境宽松,大牛多","股票期权, 定期体检, 下午茶, 年度旅游",宝安区,"Java, PHP, Python","西乡, 新安",开发|测试|运维类,后端开发,"Java, PHP, Python"
深圳市客路网络科技有限公司,KLOOK 客路旅行,Python工程师,1-3年,本科,全职,10k-20k,深圳,D轮及以上,旅游,"国际化平台,环境舒适,好玩有趣","零食水果供应, 带薪年假, 绩效奖金, 扁平管理",福田区,"电商, 后端, Python",,开发|测试|运维类,后端开发,"后端, Python"
深圳市博悦科创科技有限公司,博悦科创,急聘中级python开发,3-5年,本科,全职,10k-16k,深圳,不需要融资,移动互联网,"技术新,晋升快,福利待遇好,发展空间大","年底双薪, 定期体检, 绩效奖金, 技能培训",南山区,Python,,开发|测试|运维类,后端开发,Python
深圳万威国际科技有限公司,万威国际,python开发工程师,3-5年,本科,全职,15k-20k,深圳,不需要融资,"移动互联网,金融","平台大,国际化,奖金高,福利好","绩效奖金, 带薪年假, 午餐补助",南山区,"互联网金融, Python, 爬虫工程师, 数据挖掘",,开发|测试|运维类,后端开发,"Python, 爬虫工程师, 数据挖掘"
深圳市一面网络技术有限公司,一面数据,Python 工程师（产品研发）,1-3年,本科,全职,10k-20k,深圳,A轮,"移动互联网,数据服务",大数据人工智能；名校系大牛；技术氛围浓,"技能培训, 海归精英团队, Geek分享, 绩效奖金",南山区,大数据,,开发|测试|运维类,后端开发,
深圳市乐易网络股份有限公司,乐易网络,python开发工程师,1-3年,本科,全职,8k-16k,深圳,A轮,"移动互联网,游戏",丰厚年终，两次旅游，两次调薪,"技术大牛, 两次年度旅游, 福利倍儿好, 年终奖丰厚",南山区,Python,,开发|测试|运维类,后端开发,Python
深圳市易博天下科技有限公司,易博天下,Python开发工程师,1-3年,大专,全职,13k-25k,深圳,上市公司,"移动互联网,消费生活",平台好 高速增长 股票期权 创业团队,"年底双薪, 股票期权, 带薪年假, 创业公司范儿",南山区,,"科技园, 后海, 深圳湾",开发|测试|运维类,后端开发,
达而观信息科技（上海）有限公司,达观数据,高级python开发工程师,3-5年,本科,全职,20k-30k,深圳,B轮,人工智能,"人工智能,准独角兽,技术氛围浓,发展空间","AI人工智能, NLP, 技术领先, 市场口碑佳",南山区,"企业服务, 大数据, 后端, Python, C++, 机器学习",科技园,开发|测试|运维类,后端开发,"后端, Python, C++, 机器学习"
亿达信息技术（深圳）有限公司,YIDATEC,python开发,3-5年,大专,全职,10k-15k,深圳,不需要融资,"移动互联网,游戏",五险一金 补充商业保险 年度体检,,福田区,"物流, 工具软件, 分布式, Python","上沙, 新洲, 车公庙",开发|测试|运维类,后端开发,"分布式, Python"
广东盛迪嘉电子商务股份有限公司,盛迪嘉支付,python开发工程师,3-5年,本科,全职,15k-20k,深圳,不需要融资,"移动互联网,金融",高薪酬、高福利、职业生涯规划,"年底双薪, 带薪年假, 绩效奖金, 交通补助",南山区,"大数据, 自动化",科技园,开发|测试|运维类,后端开发,自动化
深圳前海联易融金融服务有限公司,联易融linklogis,Python开发工程师,不限,本科,全职,15k-28k,深圳,C轮,"移动互联网,金融",六险一金;弹性办公;福利满满;风口行业,"带薪年假, 定期体检, 六险一金, 婚育礼金",南山区,"大数据, 金融","大冲, 科技园",开发|测试|运维类,后端开发,
马上消费金融股份有限公司,马上金融,Python开发工程师,3-5年,本科,全职,15k-25k,深圳,不需要融资,"金融,移动互联网",五险一金 带薪年假 定期培训 年终奖金,"股票期权, 年终分红, 绩效奖金, 带薪年假",福田区,"后端, Python",景田,开发|测试|运维类,后端开发,"后端, Python"
深圳市幸福商城科技股份有限公司,幸福商城,Python开发工程师,5-10年,本科,全职,15k-25k,深圳,B轮,"移动互联网,消费生活",晋升空间、主题活动、下午茶、运动俱乐部,"带薪年假, 下午茶蛋糕, 季度团建, 领导nice",南山区,"电商, 数据挖掘",西丽,开发|测试|运维类,数据开发,数据挖掘
